ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-08-23T01:07:25+00:00,1787447245,34,7,1,235,8,3,0,0,2026-08-23T04:07:25+03:00,2026-08-22T21:07:25-04:00,6055e20a009f,csv-ledger-v1
2026-08-23T02:58:24+00:00,1787453904,34,7,2,235,8,3,0,0,2026-08-23T05:58:24+03:00,2026-08-22T22:58:24-04:00,b1293399097b,csv-ledger-v1
2026-08-23T03:54:21+00:00,1787457261,34,7,3,235,8,3,0,0,2026-08-23T06:54:21+03:00,2026-08-22T23:54:21-04:00,c1a86fed9786,csv-ledger-v1
