ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-08-09T01:24:25+00:00,1786238665,32,7,1,221,8,3,0,0,2026-08-09T04:24:25+03:00,2026-08-08T21:24:25-04:00,d00c7a1e9d01,csv-ledger-v1
2026-08-09T03:38:29+00:00,1786246709,32,7,3,221,8,3,0,0,2026-08-09T06:38:29+03:00,2026-08-08T23:38:29-04:00,79c86ba14271,csv-ledger-v1
2026-08-09T05:00:30+00:00,1786251630,32,7,5,221,8,3,0,0,2026-08-09T08:00:30+03:00,2026-08-09T01:00:30-04:00,ab95316815cc,csv-ledger-v1
