ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-12-13T01:19:48+00:00,1765588788,50,6,1,347,12,4,0,0,2025-12-13T03:19:48+02:00,2025-12-12T20:19:48-05:00,c174bf21ff1e,csv-ledger-v1
2025-12-13T03:13:47+00:00,1765595627,50,6,3,347,12,4,0,0,2025-12-13T05:13:47+02:00,2025-12-12T22:13:47-05:00,99870e68db29,csv-ledger-v1
2025-12-13T04:23:45+00:00,1765599825,50,6,4,347,12,4,0,0,2025-12-13T06:23:45+02:00,2025-12-12T23:23:45-05:00,f3f70c1fe436,csv-ledger-v1
2025-12-13T05:18:12+00:00,1765603092,50,6,5,347,12,4,0,0,2025-12-13T07:18:12+02:00,2025-12-13T00:18:12-05:00,d23e7cebe4c9,csv-ledger-v1
