ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-12-14T01:38:18+00:00,1765676298,50,7,1,348,12,4,0,0,2025-12-14T03:38:18+02:00,2025-12-13T20:38:18-05:00,cea9d0a41a10,csv-ledger-v1
2025-12-14T03:26:32+00:00,1765682792,50,7,3,348,12,4,0,0,2025-12-14T05:26:32+02:00,2025-12-13T22:26:32-05:00,ca493c1aa5f8,csv-ledger-v1
2025-12-14T04:34:19+00:00,1765686859,50,7,4,348,12,4,0,0,2025-12-14T06:34:19+02:00,2025-12-13T23:34:19-05:00,532b882ea61f,csv-ledger-v1
