ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-04-09T02:01:59+00:00,1775700119,15,4,2,99,4,2,0,0,2026-04-09T05:01:59+03:00,2026-04-08T22:01:59-04:00,cc642d20b703,csv-ledger-v1
2026-04-09T05:06:56+00:00,1775711216,15,4,5,99,4,2,0,0,2026-04-09T08:06:56+03:00,2026-04-09T01:06:56-04:00,d77457dbe79a,csv-ledger-v1
2026-04-09T07:18:04+00:00,1775719084,15,4,7,99,4,2,0,0,2026-04-09T10:18:04+03:00,2026-04-09T03:18:04-04:00,87489c5b5bb8,csv-ledger-v1
2026-04-09T09:04:05+00:00,1775725445,15,4,9,99,4,2,0,0,2026-04-09T12:04:05+03:00,2026-04-09T05:04:05-04:00,3a41e817e623,csv-ledger-v1
2026-04-09T10:55:56+00:00,1775732156,15,4,10,99,4,2,0,0,2026-04-09T13:55:56+03:00,2026-04-09T06:55:56-04:00,2da848824e50,csv-ledger-v1
2026-04-09T11:54:10+00:00,1775735650,15,4,11,99,4,2,0,0,2026-04-09T14:54:10+03:00,2026-04-09T07:54:10-04:00,b6e3f79ddbdd,csv-ledger-v1
2026-04-09T13:22:24+00:00,1775740944,15,4,13,99,4,2,0,0,2026-04-09T16:22:24+03:00,2026-04-09T09:22:24-04:00,59102dffad6f,csv-ledger-v1
2026-04-09T15:19:47+00:00,1775747987,15,4,15,99,4,2,0,0,2026-04-09T18:19:47+03:00,2026-04-09T11:19:47-04:00,d81fb20fd85e,csv-ledger-v1
2026-04-09T17:04:19+00:00,1775754259,15,4,17,99,4,2,0,0,2026-04-09T20:04:19+03:00,2026-04-09T13:04:19-04:00,aa373a795f62,csv-ledger-v1
2026-04-09T19:02:05+00:00,1775761325,15,4,19,99,4,2,0,0,2026-04-09T22:02:05+03:00,2026-04-09T15:02:05-04:00,0719be7329a1,csv-ledger-v1
2026-04-09T20:46:35+00:00,1775767595,15,4,20,99,4,2,0,0,2026-04-09T23:46:35+03:00,2026-04-09T16:46:35-04:00,20fae5b5df52,csv-ledger-v1
2026-04-09T21:42:13+00:00,1775770933,15,4,21,99,4,2,0,0,2026-04-10T00:42:13+03:00,2026-04-09T17:42:13-04:00,1845dffd9d6b,csv-ledger-v1
2026-04-09T22:37:52+00:00,1775774272,15,4,22,99,4,2,0,0,2026-04-10T01:37:52+03:00,2026-04-09T18:37:52-04:00,eeb4196d78c1,csv-ledger-v1
2026-04-09T23:35:18+00:00,1775777718,15,4,23,99,4,2,0,0,2026-04-10T02:35:18+03:00,2026-04-09T19:35:18-04:00,c03f1f398be3,csv-ledger-v1
