ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-08-14T01:41:32+00:00,1786671692,33,5,1,226,8,3,0,0,2026-08-14T04:41:32+03:00,2026-08-13T21:41:32-04:00,885df1689b10,csv-ledger-v1
2026-08-14T04:04:53+00:00,1786680293,33,5,4,226,8,3,0,0,2026-08-14T07:04:53+03:00,2026-08-14T00:04:53-04:00,7a58e72faf80,csv-ledger-v1
2026-08-14T06:10:16+00:00,1786687816,33,5,6,226,8,3,0,0,2026-08-14T09:10:16+03:00,2026-08-14T02:10:16-04:00,5cf5c65ae76e,csv-ledger-v1
2026-08-14T08:12:21+00:00,1786695141,33,5,8,226,8,3,0,0,2026-08-14T11:12:21+03:00,2026-08-14T04:12:21-04:00,deffbeced8d6,csv-ledger-v1
2026-08-14T09:56:45+00:00,1786701405,33,5,9,226,8,3,0,0,2026-08-14T12:56:45+03:00,2026-08-14T05:56:45-04:00,3c9694d2ad72,csv-ledger-v1
2026-08-14T10:57:32+00:00,1786705052,33,5,10,226,8,3,0,0,2026-08-14T13:57:32+03:00,2026-08-14T06:57:32-04:00,d4f5189e3500,csv-ledger-v1
2026-08-14T11:46:25+00:00,1786707985,33,5,11,226,8,3,0,0,2026-08-14T14:46:25+03:00,2026-08-14T07:46:25-04:00,a364c05630be,csv-ledger-v1
2026-08-14T12:58:09+00:00,1786712289,33,5,12,226,8,3,0,0,2026-08-14T15:58:09+03:00,2026-08-14T08:58:09-04:00,ba8fdbe782b5,csv-ledger-v1
