ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-04-24T02:26:53+00:00,1776997613,17,5,2,114,4,2,0,0,2026-04-24T05:26:53+03:00,2026-04-23T22:26:53-04:00,e126dc062db3,csv-ledger-v1
2026-04-24T05:32:28+00:00,1777008748,17,5,5,114,4,2,0,0,2026-04-24T08:32:28+03:00,2026-04-24T01:32:28-04:00,588bd951559b,csv-ledger-v1
2026-04-24T07:59:07+00:00,1777017547,17,5,7,114,4,2,0,0,2026-04-24T10:59:07+03:00,2026-04-24T03:59:07-04:00,313f8a2dfdab,csv-ledger-v1
