ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-11-22T01:16:37+00:00,1763774197,47,6,1,326,11,4,0,0,2025-11-22T03:16:37+02:00,2025-11-21T21:16:37-04:00,cc4768082d9e,csv-ledger-v1
2025-11-22T03:02:11+00:00,1763780531,47,6,3,326,11,4,0,0,2025-11-22T05:02:11+02:00,2025-11-21T23:02:11-04:00,a89a0792aac8,csv-ledger-v1
2025-11-22T04:19:39+00:00,1763785179,47,6,4,326,11,4,0,0,2025-11-22T06:19:39+02:00,2025-11-22T00:19:39-04:00,4bb972cc302c,csv-ledger-v1
2025-11-22T05:16:04+00:00,1763788564,47,6,5,326,11,4,0,0,2025-11-22T07:16:04+02:00,2025-11-22T01:16:04-04:00,2ace374a54d7,csv-ledger-v1
2025-11-22T06:23:31+00:00,1763792611,47,6,6,326,11,4,0,0,2025-11-22T08:23:31+02:00,2025-11-22T02:23:31-04:00,76b1937babfa,csv-ledger-v1
2025-11-22T07:15:20+00:00,1763795720,47,6,7,326,11,4,0,0,2025-11-22T09:15:20+02:00,2025-11-22T03:15:20-04:00,2351a6178952,csv-ledger-v1
2025-11-22T08:21:04+00:00,1763799664,47,6,8,326,11,4,0,0,2025-11-22T10:21:04+02:00,2025-11-22T04:21:04-04:00,d63ffae0f717,csv-ledger-v1
2025-11-22T09:16:29+00:00,1763802989,47,6,9,326,11,4,0,0,2025-11-22T11:16:29+02:00,2025-11-22T05:16:29-04:00,0a705c7dba1a,csv-ledger-v1
2025-11-22T10:16:46+00:00,1763806606,47,6,10,326,11,4,0,0,2025-11-22T12:16:46+02:00,2025-11-22T06:16:46-04:00,422abba3c794,csv-ledger-v1
2025-11-22T11:12:29+00:00,1763809949,47,6,11,326,11,4,0,0,2025-11-22T13:12:29+02:00,2025-11-22T07:12:29-04:00,616d6866e2c1,csv-ledger-v1
2025-11-22T12:31:07+00:00,1763814667,47,6,12,326,11,4,0,0,2025-11-22T14:31:07+02:00,2025-11-22T08:31:07-04:00,648eaf298ef1,csv-ledger-v1
2025-11-22T13:21:19+00:00,1763817679,47,6,13,326,11,4,0,0,2025-11-22T15:21:19+02:00,2025-11-22T09:21:19-04:00,7a97137e410b,csv-ledger-v1
2025-11-22T14:14:24+00:00,1763820864,47,6,14,326,11,4,0,0,2025-11-22T16:14:24+02:00,2025-11-22T10:14:24-04:00,cd6d1afa3174,csv-ledger-v1
2025-11-22T15:15:15+00:00,1763824515,47,6,15,326,11,4,0,0,2025-11-22T17:15:15+02:00,2025-11-22T11:15:15-04:00,dd1cbda87bd2,csv-ledger-v1
