ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-03T01:57:25+00:00,1772503045,10,2,1,62,3,1,0,0,2026-03-03T04:57:25+03:00,2026-03-02T21:57:25-04:00,20a57c7665a0,csv-ledger-v1
2026-03-03T04:18:17+00:00,1772511497,10,2,4,62,3,1,0,0,2026-03-03T07:18:17+03:00,2026-03-03T00:18:17-04:00,18be9b079077,csv-ledger-v1
2026-03-03T05:46:34+00:00,1772516794,10,2,5,62,3,1,0,0,2026-03-03T08:46:34+03:00,2026-03-03T01:46:34-04:00,75774ba80a1c,csv-ledger-v1
2026-03-03T06:47:30+00:00,1772520450,10,2,6,62,3,1,0,0,2026-03-03T09:47:30+03:00,2026-03-03T02:47:30-04:00,25a04d7ba6df,csv-ledger-v1
2026-03-03T07:39:54+00:00,1772523594,10,2,7,62,3,1,0,0,2026-03-03T10:39:54+03:00,2026-03-03T03:39:54-04:00,ed8f936c1e5f,csv-ledger-v1
2026-03-03T08:37:33+00:00,1772527053,10,2,8,62,3,1,0,0,2026-03-03T11:37:33+03:00,2026-03-03T04:37:33-04:00,cbfa5b32b261,csv-ledger-v1
2026-03-03T09:38:28+00:00,1772530708,10,2,9,62,3,1,0,0,2026-03-03T12:38:28+03:00,2026-03-03T05:38:28-04:00,3e652211e25a,csv-ledger-v1
