ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-02-06T01:52:49+00:00,1770342769,6,5,1,37,2,1,0,0,2026-02-06T03:52:49+02:00,2026-02-05T20:52:49-05:00,9fb80b4ad5b3,csv-ledger-v1
2026-02-06T04:12:46+00:00,1770351166,6,5,4,37,2,1,0,0,2026-02-06T06:12:46+02:00,2026-02-05T23:12:46-05:00,54226e34b55b,csv-ledger-v1
2026-02-06T05:51:43+00:00,1770357103,6,5,5,37,2,1,0,0,2026-02-06T07:51:43+02:00,2026-02-06T00:51:43-05:00,33ceff4c8a18,csv-ledger-v1
2026-02-06T06:51:32+00:00,1770360692,6,5,6,37,2,1,0,0,2026-02-06T08:51:32+02:00,2026-02-06T01:51:32-05:00,8e512c00b938,csv-ledger-v1
2026-02-06T07:44:15+00:00,1770363855,6,5,7,37,2,1,0,0,2026-02-06T09:44:15+02:00,2026-02-06T02:44:15-05:00,01b0159b169a,csv-ledger-v1
2026-02-06T08:38:13+00:00,1770367093,6,5,8,37,2,1,0,0,2026-02-06T10:38:13+02:00,2026-02-06T03:38:13-05:00,287f07a8c81a,csv-ledger-v1
