ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-01-15T01:25:28+00:00,1768440328,3,4,1,15,1,1,0,0,2026-01-15T03:25:28+02:00,2026-01-14T20:25:28-05:00,d71eaad9f87f,csv-ledger-v1
2026-01-15T03:28:28+00:00,1768447708,3,4,3,15,1,1,0,0,2026-01-15T05:28:28+02:00,2026-01-14T22:28:28-05:00,3ca99963337c,csv-ledger-v1
2026-01-15T04:37:53+00:00,1768451873,3,4,4,15,1,1,0,0,2026-01-15T06:37:53+02:00,2026-01-14T23:37:53-05:00,eba6ec1a0022,csv-ledger-v1
