ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-02-10T02:10:28+00:00,1770689428,7,2,2,41,2,1,0,0,2026-02-10T04:10:28+02:00,2026-02-09T21:10:28-05:00,183709a9a713,csv-ledger-v1
2026-02-10T05:01:37+00:00,1770699697,7,2,5,41,2,1,0,0,2026-02-10T07:01:37+02:00,2026-02-10T00:01:37-05:00,1f10c8ed06dc,csv-ledger-v1
2026-02-10T07:00:38+00:00,1770706838,7,2,7,41,2,1,0,0,2026-02-10T09:00:38+02:00,2026-02-10T02:00:38-05:00,12161f0761d1,csv-ledger-v1
2026-02-10T08:52:30+00:00,1770713550,7,2,8,41,2,1,0,0,2026-02-10T10:52:30+02:00,2026-02-10T03:52:30-05:00,262f7b814e33,csv-ledger-v1
