ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-12-21T01:38:29+00:00,1766281109,51,7,1,355,12,4,0,0,2025-12-21T03:38:29+02:00,2025-12-20T20:38:29-05:00,75a1243b4cc9,csv-ledger-v1
2025-12-21T03:27:03+00:00,1766287623,51,7,3,355,12,4,0,0,2025-12-21T05:27:03+02:00,2025-12-20T22:27:03-05:00,95e656db5d95,csv-ledger-v1
2025-12-21T04:34:58+00:00,1766291698,51,7,4,355,12,4,0,0,2025-12-21T06:34:58+02:00,2025-12-20T23:34:58-05:00,904ae544c89c,csv-ledger-v1
2025-12-21T05:18:25+00:00,1766294305,51,7,5,355,12,4,0,0,2025-12-21T07:18:25+02:00,2025-12-21T00:18:25-05:00,e57c451d4d3e,csv-ledger-v1
2025-12-21T06:27:06+00:00,1766298426,51,7,6,355,12,4,0,0,2025-12-21T08:27:06+02:00,2025-12-21T01:27:06-05:00,537fa57570a5,csv-ledger-v1
2025-12-21T07:17:25+00:00,1766301445,51,7,7,355,12,4,0,0,2025-12-21T09:17:25+02:00,2025-12-21T02:17:25-05:00,81a2f57be01e,csv-ledger-v1
2025-12-21T08:22:49+00:00,1766305369,51,7,8,355,12,4,0,0,2025-12-21T10:22:49+02:00,2025-12-21T03:22:49-05:00,f2d778df697b,csv-ledger-v1
2025-12-21T09:17:38+00:00,1766308658,51,7,9,355,12,4,0,0,2025-12-21T11:17:38+02:00,2025-12-21T04:17:38-05:00,056460b301c7,csv-ledger-v1
2025-12-21T10:17:37+00:00,1766312257,51,7,10,355,12,4,0,0,2025-12-21T12:17:37+02:00,2025-12-21T05:17:37-05:00,12bd382c9b86,csv-ledger-v1
2025-12-21T11:14:46+00:00,1766315686,51,7,11,355,12,4,0,0,2025-12-21T13:14:46+02:00,2025-12-21T06:14:46-05:00,cc58e607ab84,csv-ledger-v1
