ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-26T02:05:50+00:00,1774490750,13,4,2,85,3,1,0,0,2026-03-26T05:05:50+03:00,2026-03-25T22:05:50-04:00,490e1599eb36,csv-ledger-v1
2026-03-26T05:03:33+00:00,1774501413,13,4,5,85,3,1,0,0,2026-03-26T08:03:33+03:00,2026-03-26T01:03:33-04:00,2e73f394e3ef,csv-ledger-v1
2026-03-26T07:04:48+00:00,1774508688,13,4,7,85,3,1,0,0,2026-03-26T10:04:48+03:00,2026-03-26T03:04:48-04:00,099cf8128c34,csv-ledger-v1
2026-03-26T08:52:03+00:00,1774515123,13,4,8,85,3,1,0,0,2026-03-26T11:52:03+03:00,2026-03-26T04:52:03-04:00,40b187c696ae,csv-ledger-v1
2026-03-26T09:58:50+00:00,1774519130,13,4,9,85,3,1,0,0,2026-03-26T12:58:50+03:00,2026-03-26T05:58:50-04:00,d145e94ec59d,csv-ledger-v1
2026-03-26T11:01:18+00:00,1774522878,13,4,11,85,3,1,0,0,2026-03-26T14:01:18+03:00,2026-03-26T07:01:18-04:00,eb14626e79c6,csv-ledger-v1
2026-03-26T13:09:49+00:00,1774530589,13,4,13,85,3,1,0,0,2026-03-26T16:09:49+03:00,2026-03-26T09:09:49-04:00,efeb180560a2,csv-ledger-v1
2026-03-26T15:01:04+00:00,1774537264,13,4,15,85,3,1,0,0,2026-03-26T18:01:04+03:00,2026-03-26T11:01:04-04:00,e89ef7869408,csv-ledger-v1
