ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-04T01:51:18+00:00,1772589078,10,3,1,63,3,1,0,0,2026-03-04T04:51:18+03:00,2026-03-03T21:51:18-04:00,6a2248064e28,csv-ledger-v1
2026-03-04T04:07:16+00:00,1772597236,10,3,4,63,3,1,0,0,2026-03-04T07:07:16+03:00,2026-03-04T00:07:16-04:00,5a413d2dc2e8,csv-ledger-v1
2026-03-04T05:41:09+00:00,1772602869,10,3,5,63,3,1,0,0,2026-03-04T08:41:09+03:00,2026-03-04T01:41:09-04:00,22d7b98a7dc0,csv-ledger-v1
2026-03-04T06:42:31+00:00,1772606551,10,3,6,63,3,1,0,0,2026-03-04T09:42:31+03:00,2026-03-04T02:42:31-04:00,c579c9c4f752,csv-ledger-v1
2026-03-04T07:36:00+00:00,1772609760,10,3,7,63,3,1,0,0,2026-03-04T10:36:00+03:00,2026-03-04T03:36:00-04:00,42d12d5e333b,csv-ledger-v1
2026-03-04T08:36:00+00:00,1772613360,10,3,8,63,3,1,0,0,2026-03-04T11:36:00+03:00,2026-03-04T04:36:00-04:00,a6d1c64cc502,csv-ledger-v1
2026-03-04T09:37:31+00:00,1772617051,10,3,9,63,3,1,0,0,2026-03-04T12:37:31+03:00,2026-03-04T05:37:31-04:00,36ca8c3bcd75,csv-ledger-v1
2026-03-04T10:33:44+00:00,1772620424,10,3,10,63,3,1,0,0,2026-03-04T13:33:44+03:00,2026-03-04T06:33:44-04:00,4da9a7c6fbd2,csv-ledger-v1
2026-03-04T11:27:49+00:00,1772623669,10,3,11,63,3,1,0,0,2026-03-04T14:27:49+03:00,2026-03-04T07:27:49-04:00,a7e418f5c5ff,csv-ledger-v1
