ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-11-25T01:19:56+00:00,1764033596,48,2,1,329,11,4,0,0,2025-11-25T03:19:56+02:00,2025-11-24T21:19:56-04:00,d0903b949bc9,csv-ledger-v1
2025-11-25T03:12:39+00:00,1764040359,48,2,3,329,11,4,0,0,2025-11-25T05:12:39+02:00,2025-11-24T23:12:39-04:00,c5d2fb45a573,csv-ledger-v1
2025-11-25T04:24:01+00:00,1764044641,48,2,4,329,11,4,0,0,2025-11-25T06:24:01+02:00,2025-11-25T00:24:01-04:00,ea59ca76edd6,csv-ledger-v1
2025-11-25T05:17:44+00:00,1764047864,48,2,5,329,11,4,0,0,2025-11-25T07:17:44+02:00,2025-11-25T01:17:44-04:00,08ce160fa1c7,csv-ledger-v1
2025-11-25T06:28:02+00:00,1764052082,48,2,6,329,11,4,0,0,2025-11-25T08:28:02+02:00,2025-11-25T02:28:02-04:00,648531ab6ee2,csv-ledger-v1
2025-11-25T07:17:56+00:00,1764055076,48,2,7,329,11,4,0,0,2025-11-25T09:17:56+02:00,2025-11-25T03:17:56-04:00,2911e1539590,csv-ledger-v1
2025-11-25T08:24:56+00:00,1764059096,48,2,8,329,11,4,0,0,2025-11-25T10:24:56+02:00,2025-11-25T04:24:56-04:00,d89c041445ac,csv-ledger-v1
