ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-01-29T01:50:54+00:00,1769651454,5,4,1,29,1,1,0,0,2026-01-29T03:50:54+02:00,2026-01-28T20:50:54-05:00,07da8100dbaa,csv-ledger-v1
2026-01-29T04:05:33+00:00,1769659533,5,4,4,29,1,1,0,0,2026-01-29T06:05:33+02:00,2026-01-28T23:05:33-05:00,fcf46ddf2a4e,csv-ledger-v1
2026-01-29T05:40:59+00:00,1769665259,5,4,5,29,1,1,0,0,2026-01-29T07:40:59+02:00,2026-01-29T00:40:59-05:00,56aa10934520,csv-ledger-v1
2026-01-29T06:42:49+00:00,1769668969,5,4,6,29,1,1,0,0,2026-01-29T08:42:49+02:00,2026-01-29T01:42:49-05:00,1bbde91e64da,csv-ledger-v1
2026-01-29T07:37:43+00:00,1769672263,5,4,7,29,1,1,0,0,2026-01-29T09:37:43+02:00,2026-01-29T02:37:43-05:00,0e7332f068e6,csv-ledger-v1
2026-01-29T08:35:45+00:00,1769675745,5,4,8,29,1,1,0,0,2026-01-29T10:35:45+02:00,2026-01-29T03:35:45-05:00,edba12bae929,csv-ledger-v1
2026-01-29T09:39:09+00:00,1769679549,5,4,9,29,1,1,0,0,2026-01-29T11:39:09+02:00,2026-01-29T04:39:09-05:00,c16ec1fdb432,csv-ledger-v1
2026-01-29T10:34:07+00:00,1769682847,5,4,10,29,1,1,0,0,2026-01-29T12:34:07+02:00,2026-01-29T05:34:07-05:00,2633bd97f130,csv-ledger-v1
