ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-12T01:54:15+00:00,1773280455,11,4,1,71,3,1,0,0,2026-03-12T04:54:15+03:00,2026-03-11T21:54:15-04:00,aa744bbd5681,csv-ledger-v1
2026-03-12T04:12:02+00:00,1773288722,11,4,4,71,3,1,0,0,2026-03-12T07:12:02+03:00,2026-03-12T00:12:02-04:00,f592df65f330,csv-ledger-v1
2026-03-12T05:48:43+00:00,1773294523,11,4,5,71,3,1,0,0,2026-03-12T08:48:43+03:00,2026-03-12T01:48:43-04:00,e1366ff35a94,csv-ledger-v1
