ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-04-18T02:06:59+00:00,1776478019,16,6,2,108,4,2,0,0,2026-04-18T05:06:59+03:00,2026-04-17T22:06:59-04:00,84451b47f1dd,csv-ledger-v1
2026-04-18T05:04:17+00:00,1776488657,16,6,5,108,4,2,0,0,2026-04-18T08:04:17+03:00,2026-04-18T01:04:17-04:00,3b86f1dd2cb3,csv-ledger-v1
2026-04-18T07:03:31+00:00,1776495811,16,6,7,108,4,2,0,0,2026-04-18T10:03:31+03:00,2026-04-18T03:03:31-04:00,a213e78ef860,csv-ledger-v1
2026-04-18T08:45:43+00:00,1776501943,16,6,8,108,4,2,0,0,2026-04-18T11:45:43+03:00,2026-04-18T04:45:43-04:00,e15dd98ae232,csv-ledger-v1
2026-04-18T09:44:17+00:00,1776505457,16,6,9,108,4,2,0,0,2026-04-18T12:44:17+03:00,2026-04-18T05:44:17-04:00,9d6107bba9c8,csv-ledger-v1
2026-04-18T10:37:34+00:00,1776508654,16,6,10,108,4,2,0,0,2026-04-18T13:37:34+03:00,2026-04-18T06:37:34-04:00,b79bc52b9b12,csv-ledger-v1
2026-04-18T11:32:16+00:00,1776511936,16,6,11,108,4,2,0,0,2026-04-18T14:32:16+03:00,2026-04-18T07:32:16-04:00,22b846faa060,csv-ledger-v1
2026-04-18T12:57:20+00:00,1776517040,16,6,12,108,4,2,0,0,2026-04-18T15:57:20+03:00,2026-04-18T08:57:20-04:00,fc2d5973fc1f,csv-ledger-v1
2026-04-18T14:01:33+00:00,1776520893,16,6,14,108,4,2,0,0,2026-04-18T17:01:33+03:00,2026-04-18T10:01:33-04:00,a6897da5d74e,csv-ledger-v1
2026-04-18T15:35:10+00:00,1776526510,16,6,15,108,4,2,0,0,2026-04-18T18:35:10+03:00,2026-04-18T11:35:10-04:00,3b4c036accd1,csv-ledger-v1
2026-04-18T16:36:27+00:00,1776530187,16,6,16,108,4,2,0,0,2026-04-18T19:36:27+03:00,2026-04-18T12:36:27-04:00,8a4697b57511,csv-ledger-v1
2026-04-18T17:33:55+00:00,1776533635,16,6,17,108,4,2,0,0,2026-04-18T20:33:55+03:00,2026-04-18T13:33:55-04:00,f1ba1fc90494,csv-ledger-v1
2026-04-18T18:44:46+00:00,1776537886,16,6,18,108,4,2,0,0,2026-04-18T21:44:46+03:00,2026-04-18T14:44:46-04:00,3df71737a7f7,csv-ledger-v1
2026-04-18T19:38:54+00:00,1776541134,16,6,19,108,4,2,0,0,2026-04-18T22:38:54+03:00,2026-04-18T15:38:54-04:00,f0c4514ba9a1,csv-ledger-v1
