ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-27T02:07:10+00:00,1774577230,13,5,2,86,3,1,0,0,2026-03-27T05:07:10+03:00,2026-03-26T22:07:10-04:00,48aed12057a6,csv-ledger-v1
2026-03-27T05:04:48+00:00,1774587888,13,5,5,86,3,1,0,0,2026-03-27T08:04:48+03:00,2026-03-27T01:04:48-04:00,9d19a9d06f5f,csv-ledger-v1
2026-03-27T07:03:27+00:00,1774595007,13,5,7,86,3,1,0,0,2026-03-27T10:03:27+03:00,2026-03-27T03:03:27-04:00,d67f8b3f6f8b,csv-ledger-v1
2026-03-27T08:49:40+00:00,1774601380,13,5,8,86,3,1,0,0,2026-03-27T11:49:40+03:00,2026-03-27T04:49:40-04:00,116df3b81db9,csv-ledger-v1
