ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-29T02:09:26+00:00,1774750166,13,7,2,88,3,1,0,0,2026-03-29T05:09:26+03:00,2026-03-28T22:09:26-04:00,0e3a61be923e,csv-ledger-v1
2026-03-29T05:07:55+00:00,1774760875,13,7,5,88,3,1,0,0,2026-03-29T08:07:55+03:00,2026-03-29T01:07:55-04:00,027cf82fee05,csv-ledger-v1
2026-03-29T06:59:43+00:00,1774767583,13,7,6,88,3,1,0,0,2026-03-29T09:59:43+03:00,2026-03-29T02:59:43-04:00,bf0be9009374,csv-ledger-v1
2026-03-29T07:55:23+00:00,1774770923,13,7,7,88,3,1,0,0,2026-03-29T10:55:23+03:00,2026-03-29T03:55:23-04:00,231459de7629,csv-ledger-v1
2026-03-29T08:37:44+00:00,1774773464,13,7,8,88,3,1,0,0,2026-03-29T11:37:44+03:00,2026-03-29T04:37:44-04:00,fa519d24b700,csv-ledger-v1
2026-03-29T09:34:04+00:00,1774776844,13,7,9,88,3,1,0,0,2026-03-29T12:34:04+03:00,2026-03-29T05:34:04-04:00,c74514613513,csv-ledger-v1
2026-03-29T10:30:11+00:00,1774780211,13,7,10,88,3,1,0,0,2026-03-29T13:30:11+03:00,2026-03-29T06:30:11-04:00,afe1223db749,csv-ledger-v1
2026-03-29T11:26:19+00:00,1774783579,13,7,11,88,3,1,0,0,2026-03-29T14:26:19+03:00,2026-03-29T07:26:19-04:00,a4b26d04c56c,csv-ledger-v1
2026-03-29T12:51:15+00:00,1774788675,13,7,12,88,3,1,0,0,2026-03-29T15:51:15+03:00,2026-03-29T08:51:15-04:00,6112fc820f33,csv-ledger-v1
