ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-05-03T02:40:38+00:00,1777776038,18,7,2,123,5,2,0,0,2026-05-03T05:40:38+03:00,2026-05-02T22:40:38-04:00,631c43b96ad2,csv-ledger-v1
2026-05-03T05:56:09+00:00,1777787769,18,7,5,123,5,2,0,0,2026-05-03T08:56:09+03:00,2026-05-03T01:56:09-04:00,9a1b84f53fc2,csv-ledger-v1
2026-05-03T08:01:02+00:00,1777795262,18,7,8,123,5,2,0,0,2026-05-03T11:01:02+03:00,2026-05-03T04:01:02-04:00,0af0f8fd8c1a,csv-ledger-v1
2026-05-03T10:01:21+00:00,1777802481,18,7,10,123,5,2,0,0,2026-05-03T13:01:21+03:00,2026-05-03T06:01:21-04:00,20b763e0eb16,csv-ledger-v1
2026-05-03T11:39:43+00:00,1777808383,18,7,11,123,5,2,0,0,2026-05-03T14:39:43+03:00,2026-05-03T07:39:43-04:00,e5ae74742265,csv-ledger-v1
2026-05-03T13:04:08+00:00,1777813448,18,7,13,123,5,2,0,0,2026-05-03T16:04:08+03:00,2026-05-03T09:04:08-04:00,1eb69805fc6b,csv-ledger-v1
2026-05-03T14:45:35+00:00,1777819535,18,7,14,123,5,2,0,0,2026-05-03T17:45:35+03:00,2026-05-03T10:45:35-04:00,79a9696481a7,csv-ledger-v1
2026-05-03T15:43:48+00:00,1777823028,18,7,15,123,5,2,0,0,2026-05-03T18:43:48+03:00,2026-05-03T11:43:48-04:00,0cf00d273939,csv-ledger-v1
