ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-10-03T01:12:52+00:00,1759453972,40,5,1,276,10,4,0,0,2025-10-03T04:12:52+03:00,2025-10-02T21:12:52-04:00,14ca90af2895,csv-ledger-v1
2025-10-03T02:54:38+00:00,1759460078,40,5,2,276,10,4,0,0,2025-10-03T05:54:38+03:00,2025-10-02T22:54:38-04:00,27903008bc6d,csv-ledger-v1
2025-10-03T03:26:31+00:00,1759461991,40,5,3,276,10,4,0,0,2025-10-03T06:26:31+03:00,2025-10-02T23:26:31-04:00,7ef124681c53,csv-ledger-v1
2025-10-03T04:19:00+00:00,1759465140,40,5,4,276,10,4,0,0,2025-10-03T07:19:00+03:00,2025-10-03T00:19:00-04:00,38afb04ef0e6,csv-ledger-v1
2025-10-03T05:15:44+00:00,1759468544,40,5,5,276,10,4,0,0,2025-10-03T08:15:44+03:00,2025-10-03T01:15:44-04:00,a8f14618c76e,csv-ledger-v1
2025-10-03T06:23:58+00:00,1759472638,40,5,6,276,10,4,0,0,2025-10-03T09:23:58+03:00,2025-10-03T02:23:58-04:00,e055047d21ee,csv-ledger-v1
2025-10-03T07:16:02+00:00,1759475762,40,5,7,276,10,4,0,0,2025-10-03T10:16:02+03:00,2025-10-03T03:16:02-04:00,eba4ffce7895,csv-ledger-v1
2025-10-03T08:20:47+00:00,1759479647,40,5,8,276,10,4,0,0,2025-10-03T11:20:47+03:00,2025-10-03T04:20:47-04:00,a25c6e4eb073,csv-ledger-v1
2025-10-03T09:16:17+00:00,1759482977,40,5,9,276,10,4,0,0,2025-10-03T12:16:17+03:00,2025-10-03T05:16:17-04:00,837c53c857de,csv-ledger-v1
2025-10-03T10:16:48+00:00,1759486608,40,5,10,276,10,4,0,0,2025-10-03T13:16:48+03:00,2025-10-03T06:16:48-04:00,fab0eec832d9,csv-ledger-v1
2025-10-03T11:13:35+00:00,1759490015,40,5,11,276,10,4,0,0,2025-10-03T14:13:35+03:00,2025-10-03T07:13:35-04:00,4ae844a05179,csv-ledger-v1
2025-10-03T12:33:19+00:00,1759494799,40,5,12,276,10,4,0,0,2025-10-03T15:33:19+03:00,2025-10-03T08:33:19-04:00,5dbdb5ccd737,csv-ledger-v1
2025-10-03T13:23:24+00:00,1759497804,40,5,13,276,10,4,0,0,2025-10-03T16:23:24+03:00,2025-10-03T09:23:24-04:00,3cc0d6dd240d,csv-ledger-v1
2025-10-03T14:15:22+00:00,1759500922,40,5,14,276,10,4,0,0,2025-10-03T17:15:22+03:00,2025-10-03T10:15:22-04:00,d1f2c156e60d,csv-ledger-v1
2025-10-03T15:16:28+00:00,1759504588,40,5,15,276,10,4,0,0,2025-10-03T18:16:28+03:00,2025-10-03T11:16:28-04:00,0c83935bc18d,csv-ledger-v1
2025-10-03T16:19:28+00:00,1759508368,40,5,16,276,10,4,0,0,2025-10-03T19:19:28+03:00,2025-10-03T12:19:28-04:00,552f1e870e71,csv-ledger-v1
2025-10-03T17:13:35+00:00,1759511615,40,5,17,276,10,4,0,0,2025-10-03T20:13:35+03:00,2025-10-03T13:13:35-04:00,e4a5b251b9b9,csv-ledger-v1
2025-10-03T18:22:44+00:00,1759515764,40,5,18,276,10,4,0,0,2025-10-03T21:22:44+03:00,2025-10-03T14:22:44-04:00,f2d19f69923f,csv-ledger-v1
2025-10-03T19:12:48+00:00,1759518768,40,5,19,276,10,4,0,0,2025-10-03T22:12:48+03:00,2025-10-03T15:12:48-04:00,f4e21948a93d,csv-ledger-v1
2025-10-03T20:17:20+00:00,1759522640,40,5,20,276,10,4,0,0,2025-10-03T23:17:20+03:00,2025-10-03T16:17:20-04:00,821c658c96a1,csv-ledger-v1
2025-10-03T21:13:07+00:00,1759525987,40,5,21,276,10,4,0,0,2025-10-04T00:13:07+03:00,2025-10-03T17:13:07-04:00,3c835a963e56,csv-ledger-v1
