ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-10-09T01:14:35+00:00,1759972475,41,4,1,282,10,4,0,0,2025-10-09T04:14:35+03:00,2025-10-08T21:14:35-04:00,5c476b411e41,csv-ledger-v1
2025-10-09T02:58:14+00:00,1759978694,41,4,2,282,10,4,0,0,2025-10-09T05:58:14+03:00,2025-10-08T22:58:14-04:00,51aeb5c4013b,csv-ledger-v1
2025-10-09T03:34:33+00:00,1759980873,41,4,3,282,10,4,0,0,2025-10-09T06:34:33+03:00,2025-10-08T23:34:33-04:00,4120901d49a5,csv-ledger-v1
