ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-06-14T00:03:55+00:00,1781395435,24,7,0,165,6,2,0,0,2026-06-14T03:03:55+03:00,2026-06-13T20:03:55-04:00,833e59ce3c8d,csv-ledger-v1
2026-06-14T05:46:19+00:00,1781415979,24,7,5,165,6,2,0,0,2026-06-14T08:46:19+03:00,2026-06-14T01:46:19-04:00,9c8947a984f9,csv-ledger-v1
2026-06-14T09:29:29+00:00,1781429369,24,7,9,165,6,2,0,0,2026-06-14T12:29:29+03:00,2026-06-14T05:29:29-04:00,11ffdbadb81f,csv-ledger-v1
2026-06-14T11:55:09+00:00,1781438109,24,7,11,165,6,2,0,0,2026-06-14T14:55:09+03:00,2026-06-14T07:55:09-04:00,10187de69a35,csv-ledger-v1
2026-06-14T13:56:56+00:00,1781445416,24,7,13,165,6,2,0,0,2026-06-14T16:56:56+03:00,2026-06-14T09:56:56-04:00,59d31028ef83,csv-ledger-v1
2026-06-14T15:48:37+00:00,1781452117,24,7,15,165,6,2,0,0,2026-06-14T18:48:37+03:00,2026-06-14T11:48:37-04:00,35439d2fb21f,csv-ledger-v1
2026-06-14T17:17:49+00:00,1781457469,24,7,17,165,6,2,0,0,2026-06-14T20:17:49+03:00,2026-06-14T13:17:49-04:00,a88c828500bd,csv-ledger-v1
