ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-01-14T01:39:47+00:00,1768354787,3,3,1,14,1,1,0,0,2026-01-14T03:39:47+02:00,2026-01-13T20:39:47-05:00,7ccbf0174ba8,csv-ledger-v1
2026-01-14T03:45:02+00:00,1768362302,3,3,3,14,1,1,0,0,2026-01-14T05:45:02+02:00,2026-01-13T22:45:02-05:00,ba22a3e1470c,csv-ledger-v1
2026-01-14T04:44:26+00:00,1768365866,3,3,4,14,1,1,0,0,2026-01-14T06:44:26+02:00,2026-01-13T23:44:26-05:00,a3dafd674ae8,csv-ledger-v1
2026-01-14T05:22:12+00:00,1768368132,3,3,5,14,1,1,0,0,2026-01-14T07:22:12+02:00,2026-01-14T00:22:12-05:00,9ee181a4be48,csv-ledger-v1
2026-01-14T06:30:45+00:00,1768372245,3,3,6,14,1,1,0,0,2026-01-14T08:30:45+02:00,2026-01-14T01:30:45-05:00,a0f575d891a2,csv-ledger-v1
2026-01-14T07:23:32+00:00,1768375412,3,3,7,14,1,1,0,0,2026-01-14T09:23:32+02:00,2026-01-14T02:23:32-05:00,9c2868d3a5f7,csv-ledger-v1
2026-01-14T08:27:20+00:00,1768379240,3,3,8,14,1,1,0,0,2026-01-14T10:27:20+02:00,2026-01-14T03:27:20-05:00,0bf0464982c8,csv-ledger-v1
2026-01-14T09:26:36+00:00,1768382796,3,3,9,14,1,1,0,0,2026-01-14T11:26:36+02:00,2026-01-14T04:26:36-05:00,71bce53d793e,csv-ledger-v1
2026-01-14T10:21:52+00:00,1768386112,3,3,10,14,1,1,0,0,2026-01-14T12:21:52+02:00,2026-01-14T05:21:52-05:00,e99bf371280f,csv-ledger-v1
2026-01-14T11:19:00+00:00,1768389540,3,3,11,14,1,1,0,0,2026-01-14T13:19:00+02:00,2026-01-14T06:19:00-05:00,59ca36406e7c,csv-ledger-v1
2026-01-14T12:40:45+00:00,1768394445,3,3,12,14,1,1,0,0,2026-01-14T14:40:45+02:00,2026-01-14T07:40:45-05:00,af39c13a9e3c,csv-ledger-v1
2026-01-14T13:38:17+00:00,1768397897,3,3,13,14,1,1,0,0,2026-01-14T15:38:17+02:00,2026-01-14T08:38:17-05:00,129670281550,csv-ledger-v1
2026-01-14T14:23:01+00:00,1768400581,3,3,14,14,1,1,0,0,2026-01-14T16:23:01+02:00,2026-01-14T09:23:01-05:00,8c06ba6254c8,csv-ledger-v1
2026-01-14T15:23:14+00:00,1768404194,3,3,15,14,1,1,0,0,2026-01-14T17:23:14+02:00,2026-01-14T10:23:14-05:00,f51b32b1ad9e,csv-ledger-v1
2026-01-14T16:26:58+00:00,1768408018,3,3,16,14,1,1,0,0,2026-01-14T18:26:58+02:00,2026-01-14T11:26:58-05:00,5c3def57e51b,csv-ledger-v1
2026-01-14T17:25:27+00:00,1768411527,3,3,17,14,1,1,0,0,2026-01-14T19:25:27+02:00,2026-01-14T12:25:27-05:00,bbc6f2126c45,csv-ledger-v1
2026-01-14T18:30:08+00:00,1768415408,3,3,18,14,1,1,0,0,2026-01-14T20:30:08+02:00,2026-01-14T13:30:08-05:00,f5255b299e78,csv-ledger-v1
2026-01-14T19:17:25+00:00,1768418245,3,3,19,14,1,1,0,0,2026-01-14T21:17:25+02:00,2026-01-14T14:17:25-05:00,4479ea4f3d9f,csv-ledger-v1
2026-01-14T20:18:30+00:00,1768421910,3,3,20,14,1,1,0,0,2026-01-14T22:18:30+02:00,2026-01-14T15:18:30-05:00,0e09c12d0180,csv-ledger-v1
2026-01-14T21:19:27+00:00,1768425567,3,3,21,14,1,1,0,0,2026-01-14T23:19:27+02:00,2026-01-14T16:19:27-05:00,d9fa7dc979ee,csv-ledger-v1
2026-01-14T22:19:59+00:00,1768429199,3,3,22,14,1,1,0,0,2026-01-15T00:19:59+02:00,2026-01-14T17:19:59-05:00,37be9494969a,csv-ledger-v1
