ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-03-23T02:02:03+00:00,1774231323,13,1,2,82,3,1,0,0,2026-03-23T05:02:03+03:00,2026-03-22T22:02:03-04:00,128bcdc2f48b,csv-ledger-v1
2026-03-23T05:00:44+00:00,1774242044,13,1,5,82,3,1,0,0,2026-03-23T08:00:44+03:00,2026-03-23T01:00:44-04:00,0a310bf99d4c,csv-ledger-v1
2026-03-23T07:06:08+00:00,1774249568,13,1,7,82,3,1,0,0,2026-03-23T10:06:08+03:00,2026-03-23T03:06:08-04:00,a0ebc4aa8084,csv-ledger-v1
2026-03-23T08:52:00+00:00,1774255920,13,1,8,82,3,1,0,0,2026-03-23T11:52:00+03:00,2026-03-23T04:52:00-04:00,37bfd7c5b95b,csv-ledger-v1
2026-03-23T09:59:43+00:00,1774259983,13,1,9,82,3,1,0,0,2026-03-23T12:59:43+03:00,2026-03-23T05:59:43-04:00,180fd48357b0,csv-ledger-v1
2026-03-23T11:02:33+00:00,1774263753,13,1,11,82,3,1,0,0,2026-03-23T14:02:33+03:00,2026-03-23T07:02:33-04:00,4537240aca9d,csv-ledger-v1
