ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-11-15T01:17:59+00:00,1763169479,46,6,1,319,11,4,0,0,2025-11-15T03:17:59+02:00,2025-11-14T21:17:59-04:00,cf5223110119,csv-ledger-v1
2025-11-15T03:05:14+00:00,1763175914,46,6,3,319,11,4,0,0,2025-11-15T05:05:14+02:00,2025-11-14T23:05:14-04:00,6721403b4160,csv-ledger-v1
2025-11-15T04:19:48+00:00,1763180388,46,6,4,319,11,4,0,0,2025-11-15T06:19:48+02:00,2025-11-15T00:19:48-04:00,32bb4fbb428d,csv-ledger-v1
